"Category1","Annual_Income","Age","Purchased","Transaction_Date"
"Segment_3",69.05,35,"Yes",2023-02-15
"Segment_3",38.97,25,"Yes",2023-06-12
"Segment_2",46,49,"Yes",2023-07-02
"Segment_2",37.39,35,"Yes",2023-01-11
"Segment_3",55.04,69,"No",2023-11-11
"Segment_5",47.33,19,"Yes",2023-08-26
"Segment_4",82.36,68,"Yes",2023-05-29
"Segment_1",62.23,51,"No",2023-11-11
"Segment_2",88.65,50,"Yes",2023-05-01
"Segment_3",54.61,46,"No",2023-01-15
"Segment_5",71.26,26,"Yes",2023-09-07
"Segment_3",57.96,64,"Yes",2023-06-26
"Segment_3",51.71,56,"No",2023-08-18
"Segment_1",82.39,41,"No",2023-11-05
"Segment_4",80.2,37,"No",2023-10-22
"Segment_1",52.02,60,"Yes",2023-04-12
"Segment_1",40.35,65,"Yes",2023-11-20
"Segment_5",62.79,43,"Yes",2023-09-22
"Segment_3",86.38,32,"No",2023-02-13
"Segment_2",76.49,43,"No",2023-01-17
"Segment_2",28.39,63,"No",2023-03-12
"Segment_1",28.16,19,"Yes",2023-09-10
"Segment_3",62.65,62,"Yes",2023-12-14
"Segment_4",75.8,63,"No",2023-03-24
"Segment_1",57.62,69,"No",2023-11-27
"Segment_3",51.19,31,"No",2023-12-18
"Segment_5",84.03,41,"Yes",2023-06-04
"Segment_4",88.8,31,"No",2023-04-30
"Segment_2",61.98,58,"Yes",2023-10-31
"Segment_5",57.09,23,"Yes",2023-04-03
"Segment_1",64.36,63,"No",2023-12-23
"Segment_1",55.01,57,"Yes",2023-11-18
"Segment_2",46.86,70,"No",2023-10-03
"Segment_3",36.33,30,"Yes",2023-08-10
"Segment_4",53.31,56,"No",2023-04-02
"Segment_5",69.98,59,"Yes",2023-09-26
"Segment_5",88.52,35,"Yes",2023-01-06
"Segment_3",58.91,23,"No",2023-07-11
"Segment_1",70.75,63,"No",2023-11-13
"Segment_2",70.56,53,"No",2023-04-05
"Segment_5",67.17,27,"No",2023-01-25
"Segment_5",60.02,50,"No",2023-01-12
"Segment_4",60.66,22,"No",2023-12-14
"Segment_5",66.12,63,"No",2023-05-21
"Segment_2",56.85,60,"No",2023-03-21
"Segment_1",44.24,29,"No",2023-09-13
"Segment_1",49.49,19,"Yes",2023-11-15
"Segment_3",76.56,49,"No",2023-09-02
"Segment_1",53.25,61,"Yes",2023-08-22
"Segment_5",56.41,37,"No",2023-02-16
"Segment_1",83.82,46,"No",2023-01-16
"Segment_2",68.01,65,"No",2023-08-14
"Segment_4",50.18,23,"No",2023-03-23
"Segment_4",80.32,65,"No",2023-10-07
"Segment_3",63.71,38,"No",2023-01-27
"Segment_1",64.43,19,"Yes",2023-01-23
"Segment_2",72.2,64,"No",2023-07-07
"Segment_1",59.89,18,"Yes",2023-07-29
"Segment_2",59.28,40,"Yes",2023-07-05
"Segment_4",64.63,38,"No",2023-07-07
"Segment_5",54.86,36,"No",2023-07-06
"Segment_5",53.89,53,"Yes",2023-10-31
"Segment_3",74.15,48,"No",2023-08-26
"Segment_1",70.81,34,"No",2023-06-15
"Segment_4",60.94,32,"Yes",2023-06-19
"Segment_1",75.15,33,"No",2023-09-29
"Segment_1",35.22,40,"Yes",2023-08-20
"Segment_3",36.45,37,"Yes",2023-09-15
"Segment_4",57.92,35,"No",2023-08-22
"Segment_1",57,56,"No",2023-11-21
"Segment_3",75.16,37,"Yes",2023-05-25
"Segment_5",53.86,46,"No",2023-11-26
"Segment_3",37.69,55,"No",2023-11-18
"Segment_2",63.31,26,"No",2023-04-01
"Segment_5",46.31,59,"No",2023-09-04
"Segment_5",73.76,58,"No",2023-01-31
"Segment_3",38.13,40,"Yes",2023-09-13
"Segment_2",29.75,65,"Yes",2023-11-19
"Segment_2",57.09,56,"Yes",2023-07-28
"Segment_2",49.03,33,"Yes",2023-12-24
"Segment_4",89.07,60,"No",2023-07-05
"Segment_2",46.1,67,"No",2023-09-06
"Segment_2",57.61,19,"No",2023-06-05
"Segment_4",64.67,27,"No",2023-08-14
"Segment_4",71.05,52,"No",2023-09-19
"Segment_1",52.84,52,"No",2023-04-04
"Segment_3",81.95,70,"No",2023-12-25
"Segment_3",44.75,22,"No",2023-12-01
"Segment_1",72.99,51,"Yes",2023-10-29
"Segment_3",66.36,41,"Yes",2023-12-19
"Segment_5",43.63,41,"No",2023-07-25
"Segment_2",59.13,42,"No",2023-09-30
"Segment_3",81.6,40,"Yes",2023-02-06
"Segment_2",50.25,18,"Yes",2023-10-02
"Segment_5",50.1,61,"No",2023-08-08
"Segment_5",76.01,43,"No",2023-10-12
"Segment_3",53.67,30,"Yes",2023-08-12
"Segment_4",57.61,31,"No",2023-11-20
"Segment_4",72.97,33,"No",2023-10-28
"Segment_4",62.58,46,"Yes",2023-12-09
"Segment_5",52.91,45,"Yes",2023-06-04
"Segment_3",82.41,54,"Yes",2023-08-28
"Segment_1",53.41,46,"No",2023-07-06
"Segment_2",72.18,61,"Yes",2023-01-11
"Segment_1",69.46,69,"No",2023-09-02
"Segment_2",53.57,50,"No",2023-11-26
"Segment_5",98.38,61,"No",2023-06-16
"Segment_3",55.88,29,"Yes",2023-02-22
"Segment_4",34.22,19,"No",2023-08-23
"Segment_4",57.32,52,"No",2023-08-14
"Segment_1",64.9,42,"Yes",2023-08-25
"Segment_4",75.29,54,"No",2023-11-18
"Segment_1",70.64,57,"No",2023-12-04
"Segment_3",51.57,59,"No",2023-02-20
"Segment_4",91.85,59,"No",2023-08-21
"Segment_3",85.25,46,"No",2023-05-29
"Segment_5",52.06,62,"No",2023-05-19
"Segment_4",35.31,52,"No",2023-09-26
"Segment_4",48.56,25,"No",2023-09-15
"Segment_4",68.79,32,"Yes",2023-09-25
"Segment_1",50.52,46,"No",2023-10-20
"Segment_2",71.89,65,"No",2023-01-04
"Segment_3",44.89,49,"No",2023-12-08
"Segment_4",41.31,53,"No",2023-11-03
"Segment_3",69.28,28,"No",2023-07-17
"Segment_1",61.53,57,"No",2023-11-07
"Segment_5",54.92,56,"Yes",2023-07-01
"Segment_5",57.97,47,"No",2023-02-13
"Segment_2",54.18,45,"No",2023-04-17
"Segment_3",31.15,41,"No",2023-11-08
"Segment_5",39.05,19,"Yes",2023-12-05
"Segment_1",70.77,37,"No",2023-08-13
"Segment_4",69.56,69,"No",2023-07-11
"Segment_2",100.88,26,"Yes",2023-09-09
"Segment_4",37.64,63,"No",2023-07-24
"Segment_5",54.16,40,"No",2023-02-17
"Segment_5",59.42,26,"Yes",2023-01-05
"Segment_5",68.46,48,"No",2023-09-18
"Segment_5",44.17,20,"Yes",2023-04-08
"Segment_1",63.27,56,"No",2023-04-21
"Segment_2",48.1,67,"Yes",2023-03-15
"Segment_1",60.04,60,"No",2023-04-25
"Segment_2",36.19,31,"No",2023-12-18
"Segment_5",46.43,29,"No",2023-03-02
"Segment_5",48.56,56,"Yes",2023-05-29
"Segment_1",65.98,43,"Yes",2023-05-28
"Segment_2",77.43,48,"Yes",2023-07-17
"Segment_5",46.66,36,"No",2023-06-02
"Segment_4",46.4,45,"No",2023-05-11
"Segment_2",59.17,48,"Yes",2023-01-09
"Segment_2",54.59,30,"Yes",2023-10-21
"Segment_3",60.62,65,"Yes",2023-08-17
"Segment_1",51.1,70,"Yes",2023-08-17
"Segment_1",52.53,38,"No",2023-06-17
"Segment_5",52.33,29,"No",2023-02-16
"Segment_5",57.58,39,"No",2023-09-18
"Segment_3",60.49,26,"No",2023-09-20
"Segment_2",69.71,50,"Yes",2023-07-02
"Segment_5",63.03,42,"Yes",2023-02-09
"Segment_5",66.49,20,"No",2023-03-04
"Segment_3",45.78,34,"Yes",2023-07-28
"Segment_3",59.01,43,"No",2023-12-16
"Segment_1",62.26,68,"No",2023-02-20
"Segment_4",41.89,70,"Yes",2023-09-27
"Segment_2",48.68,39,"Yes",2023-11-07
"Segment_1",52.59,41,"No",2023-10-17
"Segment_2",60.39,20,"Yes",2023-09-07
"Segment_4",26.27,40,"No",2023-03-05
"Segment_5",80.01,61,"No",2023-10-01
"Segment_1",64.82,36,"No",2023-08-19
"Segment_1",69.03,21,"No",2023-01-28
"Segment_1",67.2,57,"Yes",2023-06-26
"Segment_5",63.23,23,"Yes",2023-03-07
"Segment_3",21.97,18,"No",2023-04-12
"Segment_1",60.7,54,"No",2023-10-19
"Segment_2",59.24,23,"Yes",2023-09-14
"Segment_2",32.84,37,"Yes",2023-07-15
"Segment_1",71.83,43,"No",2023-05-16
"Segment_2",37.87,42,"No",2023-03-19
"Segment_1",54.79,67,"No",2023-06-21
"Segment_5",36.1,18,"Yes",2023-06-20
"Segment_2",52.36,24,"No",2023-05-02
"Segment_3",75.35,46,"No",2023-07-15
"Segment_5",59.39,32,"Yes",2023-01-26
"Segment_4",55.13,69,"Yes",2023-04-26
"Segment_5",79.69,23,"Yes",2023-08-14
"Segment_2",81,59,"Yes",2023-05-21
"Segment_1",55.24,30,"Yes",2023-12-24
"Segment_4",48.86,58,"No",2023-10-03
"Segment_2",67.32,51,"No",2023-10-30
"Segment_5",67.12,40,"No",2023-12-13
"Segment_1",77.85,42,"No",2023-01-05
"Segment_5",43.49,27,"Yes",2023-03-07
"Segment_1",59.82,67,"Yes",2023-07-06
"Segment_4",66.94,40,"Yes",2023-11-06
"Segment_3",47.59,36,"Yes",2023-07-08
"Segment_1",40.51,44,"No",2023-07-04
"Segment_1",31.59,49,"No",2023-07-01
"Segment_2",59.3,25,"No",2023-08-17
"Segment_4",59.4,30,"No",2023-07-07
"Segment_2",53.25,31,"Yes",2023-04-04
"Segment_1",58.86,53,"No",2023-02-04
"Segment_5",36.95,31,"No",2023-10-01
"Segment_5",71.83,63,"No",2023-05-26
"Segment_1",62.51,30,"No",2023-12-01
"Segment_1",50.94,28,"No",2023-05-07
"Segment_5",53.76,35,"No",2023-06-01
"Segment_5",71.92,40,"No",2023-05-02
"Segment_2",54.39,55,"No",2023-03-02
"Segment_2",91.68,24,"No",2023-12-17
"Segment_5",75.29,61,"Yes",2023-11-19
"Segment_1",48.84,48,"Yes",2023-09-13
"Segment_1",43.89,40,"Yes",2023-09-12
"Segment_5",69.69,45,"No",2023-01-24
"Segment_5",59.97,25,"Yes",2023-10-12
"Segment_4",70.09,41,"No",2023-10-24
"Segment_5",45.4,63,"No",2023-06-12
"Segment_5",61.39,54,"No",2023-11-24
"Segment_4",59.03,67,"Yes",2023-07-03
"Segment_2",74.69,40,"No",2023-12-13
"Segment_5",63.78,46,"Yes",2023-03-31
"Segment_1",54.83,57,"Yes",2023-05-16
"Segment_1",55.35,67,"Yes",2023-05-29
"Segment_2",62.88,60,"No",2023-10-25
"Segment_1",50.61,23,"No",2023-01-03
"Segment_2",63.51,56,"No",2023-02-10
"Segment_5",39.02,22,"No",2023-06-01
"Segment_1",53.71,39,"No",2023-04-01
"Segment_3",73.86,64,"No",2023-07-16
"Segment_2",58.99,53,"Yes",2023-08-14
"Segment_2",78.18,35,"No",2023-01-24
"Segment_5",60.25,62,"Yes",2023-11-17
"Segment_4",74.81,18,"Yes",2023-01-20
"Segment_1",64.82,27,"No",2023-01-18
"Segment_5",51.55,27,"No",2023-08-09
"Segment_2",72.93,55,"No",2023-04-14
"Segment_5",73.81,59,"Yes",2023-05-04
"Segment_2",45.39,48,"No",2023-02-18
"Segment_2",63.66,66,"No",2023-08-23
"Segment_4",82.38,18,"No",2023-01-31
"Segment_3",62.5,18,"Yes",2023-06-16
"Segment_4",70.28,57,"No",2023-11-13
"Segment_3",80.3,36,"Yes",2023-01-03
"Segment_3",62.99,60,"No",2023-03-15
"Segment_3",34.41,44,"Yes",2023-11-01
"Segment_5",57.16,61,"No",2023-09-12
"Segment_3",72.36,25,"No",2023-11-29
"Segment_2",44.81,51,"No",2023-12-10
"Segment_3",55.2,62,"No",2023-02-16
"Segment_1",53.33,54,"No",2023-06-01
"Segment_5",24.94,32,"No",2023-12-25
"Segment_1",72.11,46,"No",2023-04-21
"Segment_4",45.17,55,"No",2023-11-20
"Segment_2",39.77,42,"No",2023-12-17
"Segment_2",49.23,64,"No",2023-05-22
"Segment_4",52.02,40,"Yes",2023-09-30
"Segment_1",64.28,42,"Yes",2023-09-10
"Segment_4",36.55,38,"No",2023-02-05
"Segment_5",43.22,23,"No",2023-06-05
"Segment_5",51.81,32,"No",2023-11-30
"Segment_3",60.58,40,"No",2023-03-29
"Segment_5",75.77,64,"Yes",2023-04-10
"Segment_5",52.08,30,"Yes",2023-02-13
"Segment_3",64.66,57,"No",2023-06-25
"Segment_1",77,65,"No",2023-12-09
"Segment_3",18.55,44,"No",2023-07-14
"Segment_4",56.58,20,"Yes",2023-01-05
"Segment_2",72.13,61,"Yes",2023-07-28
"Segment_5",57.22,58,"No",2023-10-09
"Segment_1",71.24,66,"No",2023-07-08
"Segment_4",57.17,48,"No",2023-04-17
"Segment_3",72.84,28,"Yes",2023-03-28
"Segment_1",62.43,29,"No",2023-06-26
"Segment_2",54.64,60,"No",2023-07-06
"Segment_3",61.43,47,"Yes",2023-09-18
"Segment_3",53.3,22,"No",2023-06-05
"Segment_1",80.92,63,"No",2023-05-06
"Segment_2",78.58,46,"Yes",2023-05-16
"Segment_1",67.17,58,"Yes",2023-10-26
"Segment_2",54.33,49,"No",2023-01-15
"Segment_2",51.6,47,"No",2023-05-11
"Segment_2",46.84,56,"No",2023-05-27
"Segment_5",50.73,47,"Yes",2023-07-01
"Segment_4",56.26,47,"No",2023-03-21
"Segment_4",65.65,51,"No",2023-10-20
"Segment_5",91.25,18,"Yes",2023-12-27
"Segment_4",71.38,24,"Yes",2023-03-09
"Segment_1",50.26,37,"No",2023-06-02
"Segment_2",76.96,44,"No",2023-01-26
"Segment_1",39.47,63,"No",2023-08-14
"Segment_2",44.82,43,"No",2023-10-31
"Segment_3",42.4,26,"No",2023-09-30
"Segment_2",59.67,48,"No",2023-06-29
"Segment_3",32.49,55,"No",2023-11-02
"Segment_1",81.39,20,"Yes",2023-07-25
"Segment_4",70.97,33,"No",2023-08-16
"Segment_2",76.42,51,"Yes",2023-06-26
"Segment_3",59.45,26,"No",2023-10-25
"Segment_5",75.83,54,"No",2023-06-16
"Segment_5",64.95,67,"Yes",2023-07-30
"Segment_3",75.25,44,"No",2023-02-12
"Segment_2",49.67,60,"No",2023-08-05
"Segment_5",50.48,64,"Yes",2023-06-20
"Segment_4",67.44,30,"Yes",2023-10-28
"Segment_2",43.59,45,"Yes",2023-04-16
"Segment_1",88.9,67,"No",2023-02-25
"Segment_4",63.53,45,"Yes",2023-10-14
"Segment_1",70.36,39,"Yes",2023-10-30
"Segment_4",64.49,48,"Yes",2023-12-17
"Segment_5",86.1,47,"Yes",2023-07-13
"Segment_4",52.51,24,"No",2023-07-08
"Segment_2",58.1,47,"Yes",2023-09-04
"Segment_2",62.02,27,"Yes",2023-05-04
"Segment_4",57.23,24,"No",2023-11-10
"Segment_3",61.13,30,"No",2023-09-02
"Segment_5",53.26,38,"Yes",2023-02-21
"Segment_2",73.17,69,"No",2023-12-22
"Segment_3",57.46,34,"Yes",2023-04-30
"Segment_3",59.23,58,"No",2023-10-14
"Segment_3",60.58,39,"No",2023-11-12
"Segment_1",46.09,20,"No",2023-04-12
"Segment_1",67.28,24,"Yes",2023-03-01
"Segment_3",54.33,38,"No",2023-08-20
"Segment_4",63.28,51,"Yes",2023-06-06
"Segment_4",61.41,31,"Yes",2023-07-12
"Segment_5",65.49,66,"No",2023-07-05
"Segment_2",66.21,66,"No",2023-06-03
"Segment_2",64.47,20,"Yes",2023-11-12
"Segment_4",72.58,46,"No",2023-02-05
"Segment_2",50.59,59,"Yes",2023-11-21
"Segment_1",53.63,24,"Yes",2023-02-23
"Segment_4",66.21,63,"No",2023-10-20
"Segment_3",45.97,19,"No",2023-01-06
"Segment_1",77.59,69,"Yes",2023-05-04
"Segment_5",56.86,28,"No",2023-06-08
"Segment_3",58.81,19,"Yes",2023-04-07
"Segment_4",46.71,43,"No",2023-01-20
"Segment_2",75.75,27,"No",2023-10-06
"Segment_5",65.87,27,"No",2023-11-27
"Segment_5",65.4,19,"No",2023-03-22
"Segment_2",52.77,34,"No",2023-07-21
"Segment_2",49.02,47,"Yes",2023-11-15
"Segment_2",50.58,42,"Yes",2023-01-12
"Segment_1",85.57,24,"Yes",2023-12-08
"Segment_3",58.72,52,"Yes",2023-02-06
"Segment_4",91.18,42,"Yes",2023-03-31
"Segment_3",60.73,36,"Yes",2023-01-10
"Segment_3",68.15,36,"No",2023-02-15
"Segment_3",48.49,29,"Yes",2023-08-10
"Segment_4",77.45,61,"Yes",2023-04-21
"Segment_4",54.5,47,"No",2023-05-06
"Segment_3",67.65,64,"Yes",2023-09-17
"Segment_4",40.62,55,"Yes",2023-10-04
"Segment_2",69.58,28,"Yes",2023-09-13
"Segment_3",66.53,56,"No",2023-06-16
"Segment_4",25.82,48,"Yes",2023-11-03
"Segment_2",47.82,48,"Yes",2023-08-10
"Segment_1",44.6,57,"No",2023-05-31
"Segment_3",73.56,26,"Yes",2023-04-19
"Segment_4",68.45,66,"Yes",2023-03-21
"Segment_1",47.87,69,"No",2023-12-28
"Segment_1",56.82,41,"Yes",2023-10-28
"Segment_4",71.71,44,"No",2023-05-01
"Segment_4",35.94,36,"No",2023-10-06
"Segment_5",60.45,29,"No",2023-07-15
"Segment_1",64.23,35,"No",2023-10-10
"Segment_4",66.41,55,"No",2023-05-18
"Segment_5",43.97,51,"No",2023-01-05
"Segment_3",50.08,24,"No",2023-08-02
"Segment_2",66.64,23,"No",2023-07-25
"Segment_5",62.68,22,"Yes",2023-10-11
"Segment_4",72.39,47,"No",2023-01-08
"Segment_4",74.6,31,"No",2023-01-18
"Segment_1",62.16,66,"No",2023-03-15
"Segment_3",86.89,53,"No",2023-06-03
"Segment_3",62.3,60,"No",2023-05-11
"Segment_3",65.45,32,"No",2023-11-14
"Segment_5",66.47,21,"No",2023-11-29
"Segment_2",42.9,36,"Yes",2023-07-29
"Segment_5",62.11,35,"No",2023-09-14
"Segment_2",55.19,33,"No",2023-09-27
"Segment_1",62.99,42,"Yes",2023-05-01
"Segment_4",59.76,53,"No",2023-06-02
"Segment_2",53.89,37,"No",2023-01-30
"Segment_2",42.43,30,"Yes",2023-08-01
"Segment_3",45.46,21,"Yes",2023-10-06
"Segment_5",28.16,24,"No",2023-05-11
"Segment_1",64.17,54,"Yes",2023-01-21
"Segment_3",57.66,52,"No",2023-06-06
"Segment_3",69.62,66,"Yes",2023-01-21
"Segment_2",64.17,27,"No",2023-08-13
"Segment_5",50.06,38,"No",2023-01-06
"Segment_1",51.26,45,"No",2023-11-29
"Segment_4",40.49,49,"No",2023-06-15
"Segment_4",48.4,40,"No",2023-06-25
"Segment_1",96.69,35,"Yes",2023-04-19
"Segment_3",70.08,50,"Yes",2023-11-16
"Segment_4",41.44,34,"Yes",2023-04-26
"Segment_4",26.81,60,"No",2023-06-16
"Segment_1",50.83,57,"Yes",2023-12-06
"Segment_5",67.3,27,"No",2023-07-08
